DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-10-01;NO1;Husholdning;355823;1116721
2025-10-01;NO1;Hytter og fritidseiendommer;55506;110760
2025-10-01;NO2;Husholdning;280722;630414
2025-10-01;NO2;Hytter og fritidseiendommer;61613;106471
2025-10-01;NO3;Husholdning;418;408102
2025-10-01;NO3;Hytter og fritidseiendommer;506;62990
2025-10-01;NO4;Husholdning;0;245265
2025-10-01;NO4;Hytter og fritidseiendommer;0;44506
2025-10-01;NO5;Husholdning;60337;258525
2025-10-01;NO5;Hytter og fritidseiendommer;21539;49110
2025-10-02;NO1;Husholdning;370169;1116762
2025-10-02;NO1;Hytter og fritidseiendommer;57142;110768
2025-10-02;NO2;Husholdning;290103;630430
2025-10-02;NO2;Hytter og fritidseiendommer;63116;106474
2025-10-02;NO3;Husholdning;455;408123
2025-10-02;NO3;Hytter og fritidseiendommer;538;62991
2025-10-02;NO4;Husholdning;0;245259
2025-10-02;NO4;Hytter og fritidseiendommer;0;44504
2025-10-02;NO5;Husholdning;63433;258527
2025-10-02;NO5;Hytter og fritidseiendommer;22316;49113
2025-10-03;NO1;Husholdning;377772;1116790
2025-10-03;NO1;Hytter og fritidseiendommer;58146;110777
2025-10-03;NO2;Husholdning;295080;630453
2025-10-03;NO2;Hytter og fritidseiendommer;63896;106483
2025-10-03;NO3;Husholdning;485;408132
2025-10-03;NO3;Hytter og fritidseiendommer;558;62995
2025-10-03;NO4;Husholdning;0;245259
2025-10-03;NO4;Hytter og fritidseiendommer;0;44506
2025-10-03;NO5;Husholdning;64871;258545
2025-10-03;NO5;Hytter og fritidseiendommer;22707;49120
2025-10-04;NO1;Husholdning;382097;1116789
2025-10-04;NO1;Hytter og fritidseiendommer;58744;110777
2025-10-04;NO2;Husholdning;297503;630457
2025-10-04;NO2;Hytter og fritidseiendommer;64372;106482
2025-10-04;NO3;Husholdning;491;408132
2025-10-04;NO3;Hytter og fritidseiendommer;567;62993
2025-10-04;NO4;Husholdning;0;245260
2025-10-04;NO4;Hytter og fritidseiendommer;0;44506
2025-10-04;NO5;Husholdning;65602;258545
2025-10-04;NO5;Hytter og fritidseiendommer;22943;49119
2025-10-05;NO1;Husholdning;387377;1116790
2025-10-05;NO1;Hytter og fritidseiendommer;59348;110777
2025-10-05;NO2;Husholdning;300632;630457
2025-10-05;NO2;Hytter og fritidseiendommer;64932;106483
2025-10-05;NO3;Husholdning;496;408133
2025-10-05;NO3;Hytter og fritidseiendommer;574;62992
2025-10-05;NO4;Husholdning;0;245259
2025-10-05;NO4;Hytter og fritidseiendommer;0;44506
2025-10-05;NO5;Husholdning;66510;258545
2025-10-05;NO5;Hytter og fritidseiendommer;23231;49119
2025-10-06;NO1;Husholdning;393584;1116813
2025-10-06;NO1;Hytter og fritidseiendommer;60083;110783
2025-10-06;NO2;Husholdning;305048;630481
2025-10-06;NO2;Hytter og fritidseiendommer;65689;106479
2025-10-06;NO3;Husholdning;508;408133
2025-10-06;NO3;Hytter og fritidseiendommer;584;62991
2025-10-06;NO4;Husholdning;0;245267
2025-10-06;NO4;Hytter og fritidseiendommer;0;44507
2025-10-06;NO5;Husholdning;67992;258562
2025-10-06;NO5;Hytter og fritidseiendommer;23591;49120
2025-10-07;NO1;Husholdning;399071;1116845
2025-10-07;NO1;Hytter og fritidseiendommer;60690;110790
2025-10-07;NO2;Husholdning;309043;630507
2025-10-07;NO2;Hytter og fritidseiendommer;66288;106475
2025-10-07;NO3;Husholdning;519;408134
2025-10-07;NO3;Hytter og fritidseiendommer;589;62998
2025-10-07;NO4;Husholdning;0;245272
2025-10-07;NO4;Hytter og fritidseiendommer;0;44506
2025-10-07;NO5;Husholdning;69424;258599
2025-10-07;NO5;Hytter og fritidseiendommer;23896;49126
2025-10-08;NO1;Husholdning;404158;1116850
2025-10-08;NO1;Hytter og fritidseiendommer;61203;110795
2025-10-08;NO2;Husholdning;312359;630513
2025-10-08;NO2;Hytter og fritidseiendommer;66775;106478
2025-10-08;NO3;Husholdning;522;408152
2025-10-08;NO3;Hytter og fritidseiendommer;594;63000
2025-10-08;NO4;Husholdning;0;245281
2025-10-08;NO4;Hytter og fritidseiendommer;0;44505
2025-10-08;NO5;Husholdning;70517;258591
2025-10-08;NO5;Hytter og fritidseiendommer;24155;49125
2025-10-09;NO1;Husholdning;408472;1116869
2025-10-09;NO1;Hytter og fritidseiendommer;61679;110798
2025-10-09;NO2;Husholdning;315247;630516
2025-10-09;NO2;Hytter og fritidseiendommer;67221;106480
2025-10-09;NO3;Husholdning;535;408175
2025-10-09;NO3;Hytter og fritidseiendommer;598;63003
2025-10-09;NO4;Husholdning;0;245278
